Product_Name,Species,Breed,Age,Age_UOM,Gender,Weight,Weight_UOM
Health Extension Grain Free Buffalo and Whitefish Recipe,Dog,Terrier (unspecified),2,Years,Female,29,Pound
Nature's Domain - Canned Grain free Dog Food,Dog,Retriever - Labrador,10,Years,Female,65,Pound
Performatrin Ultra® Grain-Free Foothills Recipe Dog Food,Dog,Mixed (Dog),10,Hours,Female,48,Pound
Grandma Lucy's Grain Free Food,Dog,Whippet,3,Years,Female,27,Pound
Acana Wild Prairie,Dog,Retriever - Golden,7,Years,Male,90,Pound
4Health Grain Free Beef and Potato,Dog,Retriever - Golden,6.5,Years,Female,55.4,Pound
Blue Buffalo Wilderness Salmon Recipe Grain Free Dry Dog Food,Dog,Terrier - Bull,9,Months,Male,38,Pound
V-Dog Kinder Kibble Vegan Adult Dry Dog Food Grain free diet: long term use for 3 years Then switched to Merrick Grain Free Salmona and Sweet Potato dry dog kibble Used for 2-3 years,Dog,Mixed (Dog),8,Years,Female,41,Pound
Zignature Kangaroo Formula Limited Ingredient Formula,Dog,Portuguese Water Dog,8,Years,Female,55,Pound
"Taste of the Wild Prey Trout Formula for Dogs, Grain-Free, Dry Dog Food",Dog,Mixed (Dog),7,Years,Female,Not provided,Not provided
Zignature Kangaroo Limited Ingredient Formula,Dog,Chihuahua,4,Years,Male,2,Kilogram
Rachael Ray Nutrish Super Premium Food For Dogs Real Chicken and Veggies Recipe,Dog,Dalmatian,11.5,Years,Female,55,Pound
Diamond Professional Plus grain free Chicken/Lentil formula Adult large breed                                                                ,Dog,Mastiff,3,Years,Female,120,Pound
Petco brand Whole Hearted Grain-Free food Whole Earth Farms Grain-Free food - typically some sort of Chicken & Potato recipe,Dog,Mixed (Dog),6,Years,Female,60,Pound
Earthborn Holistic Meadow Feast,Dog,Pointing Dog - German,5.5,Years,Male,63,Pound
4Health large breed dry food,Dog,Great Dane,2,Years,Unknown,Not provided,Not provided
Zignature Kangeroo and Lentil,Dog,Maltese,12,Years,Female,4.9,Kilogram
Kirkland Signature Nature's Domain Salmon Meal & Sweet Potato Dog Food (Grain Free),Dog,Saluki,12,Years,Male,60,Pound
Zignature Turkey Formula Limited Ingredient Formula,Dog,Other Canine/dog,2.5,Years,Male,64,Pound
"Acana Light & Fit (with free-run chicken wild flounder & Fraser Valley greens), Acana Adult Small Breed (with free-run chicken wild flounder & Fraser Valley greens)",Dog,Terrier - Yorkshire,9,Years,Female,3.6,Kilogram
Earthborn grain free,Dog,Shepherd Dog -,6,Years,Female,14.1,Kilogram
"PureVita Venison & Red Lentils Grain-Free Dry Dog Food, NutriSource Adult Chicken and Rice formula",Dog,American Pit Bull,2.6,Years,Male,32,Kilogram
4health Untamed Open Highland Recipe lamb and lentil formula,Dog,Shepherd Dog -,2,Years,Female,30,Kilogram
ACANA Senior,Dog,Retriever - Labrador,10,Years,Male,92,Pound
Pure balance chicken and rice grain free,Dog,Rottweiler,4,Years,Male,110,Pound
